nb_cons,nb_prod,nb threads,Mesure i,time
9,8,2,4,0:00.19
9,8,2,5,0:00.19
9,9,2,1,0:00.20
9,9,2,2,0:00.18
9,9,2,3,0:00.19
9,9,2,4,0:00.18
9,9,2,5,0:00.18
10,9,2,1,0:00.19
10,9,2,2,0:00.19
10,9,2,3,0:00.17
10,9,2,4,0:00.21
10,9,2,5,0:00.19
10,10,2,1,0:00.18
10,10,2,2,0:00.19
10,10,2,3,0:00.20
10,10,2,4,0:00.16
10,10,2,5,0:00.20
11,10,2,1,0:00.22
11,10,2,2,0:00.20
11,10,2,3,0:00.20
11,10,2,4,0:00.20
11,10,2,5,0:00.19
11,11,2,1,0:00.19
11,11,2,2,0:00.19
11,11,2,3,0:00.19
11,11,2,4,0:00.19
11,11,2,5,0:00.19
12,11,2,1,0:00.20
12,11,2,2,0:00.20
12,11,2,3,0:00.20
12,11,2,4,0:00.19
12,11,2,5,0:00.19
12,12,2,1,0:00.19
12,12,2,2,0:00.18
12,12,2,3,0:00.19
12,12,2,4,0:00.19
12,12,2,5,0:00.19
13,12,2,1,0:00.19
13,12,2,2,0:00.19
13,12,2,3,0:00.19
13,12,2,4,0:00.19
13,12,2,5,0:00.20
13,13,2,1,0:00.19
13,13,2,2,0:00.19
13,13,2,3,0:00.19
13,13,2,4,0:00.18
13,13,2,5,0:00.19
14,13,2,1,0:00.20
14,13,2,2,0:00.20
14,13,2,3,0:00.20
14,13,2,4,0:00.20
14,13,2,5,0:00.19
14,14,2,1,0:00.20
14,14,2,2,0:00.19
14,14,2,3,0:00.20
14,14,2,4,0:00.19
14,14,2,5,0:00.19
15,14,2,1,0:00.19
15,14,2,2,0:00.19
15,14,2,3,0:00.19
15,14,2,4,0:00.19
15,14,2,5,0:00.19
15,15,2,1,0:00.20
15,15,2,2,0:00.20
15,15,2,3,0:00.19
15,15,2,4,0:00.19
15,15,2,5,0:00.20
16,15,2,1,0:00.19
16,15,2,2,0:00.20
16,15,2,3,0:00.19
16,15,2,4,0:00.19
16,15,2,5,0:00.20
16,16,2,1,0:00.18
16,16,2,2,0:00.20
16,16,2,3,0:00.19
16,16,2,4,0:00.19
16,16,2,5,0:00.19
17,16,2,1,0:00.19
17,16,2,2,0:00.20
17,16,2,3,0:00.19
17,16,2,4,0:00.20
17,16,2,5,0:00.19
17,17,2,1,0:00.18
17,17,2,2,0:00.19
17,17,2,3,0:00.19
17,17,2,4,0:00.20
17,17,2,5,0:00.20
18,17,2,1,0:00.19
18,17,2,2,0:00.19
18,17,2,3,0:00.19
18,17,2,4,0:00.18
18,17,2,5,0:00.19
18,18,2,1,0:00.19
18,18,2,2,0:00.20
18,18,2,3,0:00.19
18,18,2,4,0:00.20
18,18,2,5,0:00.19
19,18,2,1,0:00.19
19,18,2,2,0:00.19
19,18,2,3,0:00.20
19,18,2,4,0:00.19
19,18,2,5,0:00.21
19,19,2,1,0:00.19
19,19,2,2,0:00.19
19,19,2,3,0:00.20
19,19,2,4,0:00.19
19,19,2,5,0:00.19
20,19,2,1,0:00.19
20,19,2,2,0:00.19
20,19,2,3,0:00.19
20,19,2,4,0:00.20
20,19,2,5,0:00.20
20,20,2,1,0:00.20
20,20,2,2,0:00.19
20,20,2,3,0:00.19
20,20,2,4,0:00.19
20,20,2,5,0:00.19
21,20,2,1,0:00.19
21,20,2,2,0:00.21
21,20,2,3,0:00.19
21,20,2,4,0:00.20
21,20,2,5,0:00.19
21,21,2,1,0:00.19
21,21,2,2,0:00.19
21,21,2,3,0:00.19
21,21,2,4,0:00.20
21,21,2,5,0:00.19
22,21,2,1,0:00.20
22,21,2,2,0:00.19
22,21,2,3,0:00.19
22,21,2,4,0:00.19
22,21,2,5,0:00.19
22,22,2,1,0:00.19
22,22,2,2,0:00.19
22,22,2,3,0:00.19
22,22,2,4,0:00.19
22,22,2,5,0:00.20
23,22,2,1,0:00.19
23,22,2,2,0:00.21
23,22,2,3,0:00.20
23,22,2,4,0:00.19
23,22,2,5,0:00.19
23,23,2,1,0:00.19
23,23,2,2,0:00.19
23,23,2,3,0:00.19
23,23,2,4,0:00.19
23,23,2,5,0:00.20
24,23,2,1,0:00.19
24,23,2,2,0:00.19
24,23,2,3,0:00.20
24,23,2,4,0:00.19
24,23,2,5,0:00.19
24,24,2,1,0:00.19
24,24,2,2,0:00.19
24,24,2,3,0:00.20
24,24,2,4,0:00.19
24,24,2,5,0:00.19
25,24,2,1,0:00.19
25,24,2,2,0:00.19
25,24,2,3,0:00.20
25,24,2,4,0:00.19
25,24,2,5,0:00.20
25,25,2,1,0:00.19
25,25,2,2,0:00.19
25,25,2,3,0:00.19
25,25,2,4,0:00.18
25,25,2,5,0:00.20
26,25,2,1,0:00.19
26,25,2,2,0:00.19
26,25,2,3,0:00.18
26,25,2,4,0:00.19
26,25,2,5,0:00.20
26,26,2,1,0:00.19
26,26,2,2,0:00.19
26,26,2,3,0:00.19
26,26,2,4,0:00.19
26,26,2,5,0:00.19
27,26,2,1,0:00.20
