nb_reader,nb_writer,nb threads,Mesure i,time
4,4,8,1,0.03
4,4,8,2,0.03
4,4,8,3,0.03
4,4,8,4,0.03
4,4,8,5,0.03
5,4,8,1,0.03
5,4,8,2,0.03
5,4,8,3,0.03
5,4,8,4,0.03
5,4,8,5,0.03
5,5,8,1,0.04
5,5,8,2,0.03
5,5,8,3,0.03
5,5,8,4,0.04
5,5,8,5,0.03
6,5,8,1,0.03
6,5,8,2,0.03
6,5,8,3,0.03
6,5,8,4,0.03
6,5,8,5,0.03
6,6,8,1,0.03
6,6,8,2,0.03
6,6,8,3,0.03
6,6,8,4,0.03
6,6,8,5,0.03
7,6,8,1,0.03
7,6,8,2,0.03
7,6,8,3,0.03
7,6,8,4,0.03
7,6,8,5,0.03
7,7,8,1,0.03
7,7,8,2,0.03
7,7,8,3,0.03
7,7,8,4,0.03
7,7,8,5,0.03
8,7,8,1,0.03
8,7,8,2,0.03
8,7,8,3,0.03
8,7,8,4,0.03
8,7,8,5,0.03
8,8,8,1,0.03
8,8,8,2,0.03
8,8,8,3,0.03
8,8,8,4,0.03
8,8,8,5,0.03
9,8,8,1,0.03
9,8,8,2,0.03
9,8,8,3,0.03
9,8,8,4,0.03
9,8,8,5,0.03
9,9,8,1,0.03
9,9,8,2,0.03
9,9,8,3,0.03
9,9,8,4,0.03
9,9,8,5,0.03
10,9,8,1,0.03
10,9,8,2,0.03
10,9,8,3,0.03
10,9,8,4,0.03
10,9,8,5,0.03
10,10,8,1,0.03
10,10,8,2,0.03
10,10,8,3,0.03
10,10,8,4,0.03
10,10,8,5,0.03
11,10,8,1,0.03
11,10,8,2,0.03
11,10,8,3,0.03
11,10,8,4,0.03
11,10,8,5,0.03
11,11,8,1,0.04
11,11,8,2,0.03
11,11,8,3,0.03
11,11,8,4,0.03
11,11,8,5,0.03
12,11,8,1,0.03
12,11,8,2,0.03
12,11,8,3,0.03
12,11,8,4,0.03
12,11,8,5,0.03
12,12,8,1,0.03
12,12,8,2,0.03
12,12,8,3,0.03
12,12,8,4,0.03
12,12,8,5,0.03
13,12,8,1,0.03
13,12,8,2,0.03
13,12,8,3,0.03
13,12,8,4,0.03
13,12,8,5,0.03
13,13,8,1,0.03
13,13,8,2,0.03
13,13,8,3,0.03
13,13,8,4,0.03
13,13,8,5,0.03
14,13,8,1,0.03
14,13,8,2,0.04
14,13,8,3,0.04
14,13,8,4,0.03
14,13,8,5,0.03
14,14,8,1,0.03
14,14,8,2,0.03
14,14,8,3,0.03
14,14,8,4,0.03
14,14,8,5,0.03
15,14,8,1,0.04
15,14,8,2,0.03
15,14,8,3,0.04
15,14,8,4,0.04
15,14,8,5,0.04
15,15,8,1,0.03
15,15,8,2,0.05
15,15,8,3,0.04
15,15,8,4,0.03
15,15,8,5,0.03
16,15,8,1,0.05
16,15,8,2,0.03
16,15,8,3,0.03
16,15,8,4,0.03
16,15,8,5,0.03
16,16,8,1,0.04
16,16,8,2,0.03
16,16,8,3,0.03
16,16,8,4,0.03
16,16,8,5,0.03
17,16,8,1,0.03
17,16,8,2,0.03
17,16,8,3,0.03
17,16,8,4,0.03
17,16,8,5,0.03
17,17,8,1,0.03
17,17,8,2,0.03
17,17,8,3,0.03
17,17,8,4,0.04
17,17,8,5,0.03
18,17,8,1,0.03
18,17,8,2,0.03
18,17,8,3,0.03
18,17,8,4,0.03
18,17,8,5,0.03
18,18,8,1,0.03
18,18,8,2,0.03
18,18,8,3,0.03
18,18,8,4,0.03
18,18,8,5,0.03
19,18,8,1,0.04
19,18,8,2,0.03
19,18,8,3,0.03
19,18,8,4,0.03
19,18,8,5,0.03
19,19,8,1,0.03
19,19,8,2,0.03
19,19,8,3,0.03
19,19,8,4,0.03
19,19,8,5,0.03
20,19,8,1,0.03
20,19,8,2,0.03
20,19,8,3,0.03
20,19,8,4,0.03
20,19,8,5,0.03
20,20,8,1,0.03
20,20,8,2,0.03
20,20,8,3,0.03
20,20,8,4,0.03
20,20,8,5,0.03
21,20,8,1,0.03
21,20,8,2,0.03
21,20,8,3,0.03
21,20,8,4,0.04
21,20,8,5,0.03
21,21,8,1,0.03
21,21,8,2,0.03
21,21,8,3,0.03
21,21,8,4,0.03
21,21,8,5,0.03
22,21,8,1,0.03
22,21,8,2,0.03
22,21,8,3,0.03
22,21,8,4,0.03
22,21,8,5,0.03
22,22,8,1,0.03
22,22,8,2,0.03
22,22,8,3,0.04
